frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
60;1.999999;19;19.386050;19.000000;1.020722;1.020319;1.020074;1.020073;1.020076;1.020083;1.020096;1.020115;1.020138;1.020167;1.020203;1.020244;1.020293;1.020348;1.020408;1.020476;1.020546;1.020612;1.020671;1.020710;1.020722
61;2.033333;19;19.680990;19.000000;1.035928;1.035842;1.035819;1.035813;1.035806;1.035798;1.035791;1.035787;1.035784;1.035786;1.035793;1.035806;1.035823;1.035846;1.035869;1.035892;1.035912;1.035925;1.035928;1.035920;1.035898
62;2.066666;19;19.934290;19.000000;1.049273;1.049173;1.049273;1.049266;1.049257;1.049248;1.049239;1.049229;1.049220;1.049211;1.049203;1.049195;1.049185;1.049175;1.049161;1.049144;1.049122;1.049095;1.049063;1.049025;1.048981
63;2.099999;19;20.136540;19.000000;1.060039;1.059818;1.060039;1.060030;1.060019;1.060006;1.059989;1.059970;1.059948;1.059922;1.059894;1.059862;1.059829;1.059790;1.059750;1.059707;1.059660;1.059610;1.059559;1.059505;1.059448
64;2.133333;19;20.293250;19.000000;1.068376;1.068066;1.068376;1.068365;1.068348;1.068327;1.068301;1.068271;1.068236;1.068198;1.068156;1.068111;1.068063;1.068013;1.067960;1.067905;1.067847;1.067789;1.067726;1.067663;1.067598
65;2.166666;19;20.392710;19.000000;1.073611;1.073300;1.073611;1.073600;1.073583;1.073563;1.073537;1.073508;1.073474;1.073437;1.073395;1.073351;1.073303;1.073251;1.073198;1.073141;1.073082;1.073018;1.072954;1.072886;1.072816
66;2.199999;19;20.431320;19.000000;1.075615;1.075333;1.075615;1.075605;1.075590;1.075572;1.075551;1.075525;1.075496;1.075463;1.075426;1.075387;1.075343;1.075295;1.075245;1.075190;1.075133;1.075071;1.075006;1.074938;1.074867
67;2.233333;19;20.411370;19.000000;1.074547;1.074283;1.074547;1.074537;1.074524;1.074507;1.074487;1.074463;1.074437;1.074406;1.074373;1.074336;1.074295;1.074250;1.074203;1.074152;1.074096;1.074037;1.073975;1.073908;1.073838
68;2.266666;19;20.337640;19.000000;1.070656;1.070402;1.070656;1.070646;1.070633;1.070616;1.070597;1.070575;1.070549;1.070520;1.070487;1.070452;1.070413;1.070371;1.070325;1.070276;1.070223;1.070168;1.070108;1.070045;1.069979
69;2.299999;19;20.217730;19.000000;1.064332;1.064091;1.064332;1.064322;1.064309;1.064293;1.064274;1.064252;1.064228;1.064200;1.064169;1.064136;1.064099;1.064059;1.064017;1.063971;1.063923;1.063871;1.063817;1.063758;1.063698
