frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
78;2.599999;19;19.001880;19.000000;1.000181;1.000099;1.000181;1.000162;1.000141;1.000114;1.000100;1.000089;1.000087;1.000084;1.000085;1.000083;1.000086;1.000082;1.000086;1.000084;1.000083;1.000080;1.000086;1.000082;1.000084
79;2.633332;19;19.001010;19.000000;1.000122;1.000053;1.000122;1.000105;1.000083;1.000059;1.000045;1.000036;1.000036;1.000032;1.000035;1.000031;1.000035;1.000031;1.000035;1.000033;1.000041;1.000048;1.000064;1.000068;1.000069
80;2.666666;19;19.000980;19.000000;1.000159;1.000051;1.000159;1.000144;1.000125;1.000100;1.000071;1.000042;1.000027;1.000017;1.000018;1.000014;1.000018;1.000014;1.000018;1.000015;1.000025;1.000032;1.000044;1.000047;1.000049
81;2.699999;19;19.002420;19.000000;1.000364;1.000128;1.000364;1.000346;1.000322;1.000294;1.000259;1.000217;1.000166;1.000106;1.000052;1.000023;1.000017;1.000013;1.000016;1.000018;1.000028;1.000039;1.000045;1.000047;1.000049
82;2.733332;19;19.009860;19.000000;1.001167;1.000519;1.001167;1.001136;1.001086;1.001029;1.000954;1.000872;1.000776;1.000675;1.000564;1.000450;1.000333;1.000220;1.000125;1.000079;1.000072;1.000076;1.000078;1.000085;1.000088
83;2.766665;19;19.096780;19.000000;1.005282;1.005094;1.005282;1.005269;1.005248;1.005232;1.005221;1.005191;1.005163;1.005156;1.005141;1.005118;1.005086;1.005059;1.005028;1.005006;1.004961;1.004940;1.004924;1.004885;1.004867
84;2.799999;19;19.230960;19.000000;1.012268;1.012156;1.012055;1.012051;1.012052;1.012059;1.012063;1.012084;1.012109;1.012125;1.012136;1.012148;1.012174;1.012176;1.012203;1.012235;1.012245;1.012261;1.012265;1.012254;1.012268
85;2.833332;19;19.379280;19.000000;1.020256;1.019962;1.020256;1.020246;1.020202;1.020181;1.020149;1.020092;1.020067;1.020033;1.020000;1.019988;1.019920;1.019888;1.019869;1.019821;1.019792;1.019753;1.019717;1.019677;1.019632
86;2.866665;19;19.532790;19.000000;1.028478;1.028041;1.028478;1.028468;1.028449;1.028372;1.028339;1.028272;1.028216;1.028178;1.028114;1.028040;1.027977;1.027928;1.027893;1.027841;1.027733;1.027701;1.027640;1.027592;1.027557
87;2.899999;19;19.682180;19.000000;1.036422;1.035904;1.036422;1.036411;1.036349;1.036313;1.036217;1.036166;1.036110;1.036046;1.035979;1.035934;1.035860;1.035798;1.035723;1.035671;1.035612;1.035518;1.035428;1.035342;1.035281
88;2.933332;19;19.818860;19.000000;1.043748;1.043098;1.043748;1.043715;1.043633;1.043612;1.043581;1.043440;1.043344;1.043276;1.043167;1.043083;1.043020;1.042960;1.042900;1.042861;1.042659;1.042578;1.042495;1.042437;1.042356
89;2.966665;19;19.935670;19.000000;1.050011;1.049246;1.050011;1.049980;1.049924;1.049829;1.049772;1.049623;1.049534;1.049472;1.049322;1.049232;1.049168;1.049041;1.048978;1.048861;1.048737;1.048670;1.048579;1.048535;1.048405
90;2.999999;19;20.026890;19.000000;1.054872;1.054047;1.054872;1.054822;1.054753;1.054683;1.054619;1.054512;1.054395;1.054278;1.054161;1.054044;1.053929;1.053815;1.053706;1.053623;1.053542;1.053390;1.053314;1.053252;1.053179
91;3.033332;19;20.088540;19.000000;1.058163;1.057292;1.058163;1.058096;1.058035;1.058014;1.057833;1.057794;1.057621;1.057558;1.057451;1.057263;1.057163;1.057056;1.056952;1.056841;1.056730;1.056625;1.056529;1.056446;1.056375
92;3.066665;19;20.118620;19.000000;1.059782;1.058875;1.059782;1.059749;1.059691;1.059595;1.059459;1.059331;1.059232;1.059204;1.058957;1.058919;1.058731;1.058604;1.058499;1.058386;1.058293;1.058194;1.058104;1.058006;1.057887
93;3.099998;19;20.117010;19.000000;1.059727;1.058790;1.059727;1.059671;1.059588;1.059488;1.059378;1.059262;1.059190;1.059039;1.058946;1.058781;1.058662;1.058582;1.058429;1.058297;1.058182;1.058099;1.058047;1.057870;1.057765
94;3.133332;19;20.085350;19.000000;1.057992;1.057124;1.057992;1.057946;1.057869;1.057779;1.057681;1.057618;1.057496;1.057347;1.057295;1.057217;1.056972;1.056928;1.056775;1.056671;1.056561;1.056506;1.056330;1.056275;1.056095
95;3.166665;19;20.026820;19.000000;1.054841;1.054043;1.054841;1.054807;1.054736;1.054680;1.054613;1.054480;1.054401;1.054365;1.054127;1.054043;1.053917;1.053805;1.053766;1.053564;1.053493;1.053421;1.053363;1.053235;1.053163
96;3.199998;19;19.946070;19.000000;1.050545;1.049793;1.050545;1.050499;1.050478;1.050413;1.050260;1.050231;1.050113;1.049999;1.049899;1.049812;1.049720;1.049687;1.049485;1.049379;1.049332;1.049227;1.049086;1.048983;1.048927
97;3.233332;19;19.848660;19.000000;1.045354;1.044667;1.045354;1.045299;1.045280;1.045230;1.045116;1.045034;1.044982;1.044859;1.044835;1.044644;1.044605;1.044458;1.044372;1.044315;1.044231;1.044113;1.044073;1.043996;1.043866
98;3.266665;19;19.740800;19.000000;1.039628;1.038989;1.039628;1.039594;1.039491;1.039446;1.039399;1.039335;1.039227;1.039140;1.039099;1.039013;1.038890;1.038815;1.038757;1.038709;1.038589;1.038556;1.038432;1.038397;1.038281
99;3.299998;19;19.628930;19.000000;1.033616;1.033102;1.033616;1.033586;1.033571;1.033510;1.033479;1.033430;1.033271;1.033231;1.033197;1.033108;1.033087;1.032946;1.032876;1.032813;1.032768;1.032691;1.032637;1.032599;1.032514
100;3.333332;19;19.519380;19.000000;1.027774;1.027336;1.027774;1.027738;1.027727;1.027652;1.027623;1.027563;1.027508;1.027472;1.027406;1.027367;1.027302;1.027243;1.027208;1.027116;1.027063;1.027001;1.026930;1.026868;1.026823
101;3.366665;19;19.418020;19.000000;1.022355;1.022001;1.022355;1.022345;1.022314;1.022280;1.022258;1.022173;1.022157;1.022107;1.022054;1.022020;1.021974;1.021937;1.021873;1.021821;1.021777;1.021751;1.021696;1.021594;1.021535
102;3.399998;19;19.329830;19.000000;1.017660;1.017359;1.017660;1.017640;1.017630;1.017590;1.017541;1.017523;1.017486;1.017468;1.017402;1.017377;1.017337;1.017323;1.017256;1.017192;1.017154;1.017115;1.017072;1.017048;1.017015
103;3.433331;19;19.258740;19.000000;1.013843;1.013618;1.013843;1.013834;1.013818;1.013770;1.013761;1.013732;1.013715;1.013682;1.013653;1.013635;1.013591;1.013576;1.013539;1.013501;1.013481;1.013447;1.013424;1.013382;1.013356
104;3.466665;19;19.207500;19.000000;1.011099;1.010921;1.011099;1.011088;1.011075;1.011054;1.011021;1.011003;1.010980;1.010970;1.010955;1.010929;1.010914;1.010899;1.010887;1.010870;1.010809;1.010780;1.010738;1.010720;1.010709
105;3.499998;19;19.177520;19.000000;1.009489;1.009343;1.009489;1.009481;1.009470;1.009450;1.009431;1.009420;1.009405;1.009396;1.009380;1.009371;1.009357;1.009309;1.009299;1.009278;1.009252;1.009225;1.009183;1.009166;1.009155
106;3.533331;19;19.168910;19.000000;1.009052;1.008890;1.009052;1.009039;1.009025;1.009015;1.008992;1.008971;1.008954;1.008928;1.008909;1.008897;1.008881;1.008873;1.008835;1.008826;1.008787;1.008776;1.008750;1.008702;1.008693
107;3.566665;19;19.180500;19.000000;1.009700;1.009500;1.009700;1.009689;1.009641;1.009621;1.009607;1.009598;1.009568;1.009553;1.009530;1.009520;1.009501;1.009467;1.009439;1.009415;1.009386;1.009344;1.009331;1.009302;1.009290
108;3.599998;19;19.210000;19.000000;1.011253;1.011052;1.011253;1.011242;1.011231;1.011217;1.011180;1.011162;1.011129;1.011112;1.011087;1.011051;1.011029;1.011000;1.010989;1.010946;1.010930;1.010905;1.010871;1.010844;1.010817
