frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
82;2.733332;19;27.350840;19.000000;1.464443;1.439518;1.464443;1.464357;1.464231;1.464062;1.463853;1.463601;1.463304;1.462963;1.462576;1.462142;1.461660;1.461131;1.460551;1.459921;1.459243;1.458513;1.457733;1.456903;1.039658
83;2.766665;19;27.546560;19.000000;1.475329;1.449819;1.475329;1.475241;1.475111;1.474939;1.474725;1.474466;1.474163;1.473814;1.473418;1.472973;1.472480;1.471938;1.471345;1.470700;1.470005;1.469259;1.468460;1.467611;1.040587
84;2.799999;19;27.715890;19.000000;1.484745;1.458731;1.484745;1.484655;1.484524;1.484348;1.484129;1.483866;1.483557;1.483201;1.482797;1.482344;1.481841;1.481288;1.480683;1.480026;1.479318;1.478556;1.477741;1.476876;1.041391
85;2.833332;19;27.858120;19.000000;1.492655;1.466217;1.492655;1.492563;1.492429;1.492252;1.492029;1.491762;1.491447;1.491086;1.490676;1.490215;1.489704;1.489142;1.488527;1.487860;1.487140;1.486364;1.485538;1.484658;1.042067
86;2.866665;19;27.972740;19.000000;1.499029;1.472249;1.499029;1.498937;1.498801;1.498621;1.498396;1.498125;1.497807;1.497440;1.497025;1.496559;1.496041;1.495472;1.494849;1.494173;1.493443;1.492660;1.491822;1.490928;1.042611
87;2.899999;19;28.059390;19.000000;1.503848;1.476810;1.503848;1.503755;1.503617;1.503436;1.503209;1.502935;1.502614;1.502244;1.501824;1.501354;1.500832;1.500257;1.499628;1.498946;1.498209;1.497418;1.496571;1.495669;1.043024
88;2.933332;19;28.117880;19.000000;1.507101;1.479889;1.507101;1.507007;1.506869;1.506687;1.506458;1.506183;1.505859;1.505487;1.505065;1.504591;1.504066;1.503486;1.502854;1.502167;1.501426;1.500628;1.499778;1.498871;1.043300
89;2.966665;19;28.148200;19.000000;1.508788;1.481484;1.508788;1.508694;1.508555;1.508371;1.508142;1.507866;1.507541;1.507168;1.506744;1.506268;1.505742;1.505160;1.504526;1.503837;1.503092;1.502294;1.501439;1.500529;1.043445
90;2.999999;19;28.150490;19.000000;1.508916;1.481605;1.508916;1.508822;1.508683;1.508500;1.508270;1.507993;1.507669;1.507295;1.506871;1.506395;1.505867;1.505287;1.504651;1.503963;1.503218;1.502419;1.501566;1.500653;1.043454
91;3.033332;19;28.125070;19.000000;1.507503;1.480267;1.507503;1.507408;1.507271;1.507088;1.506858;1.506582;1.506259;1.505886;1.505463;1.504988;1.504462;1.503883;1.503249;1.502562;1.501820;1.501021;1.500170;1.499263;1.043335
