frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
257;2.141667;1.011269;1.000000;1.011269;1.011269;1.011269
258;2.150000;1.009683;1.000000;1.009683;1.009683;1.009683
259;2.158334;1.008160;1.000000;1.008160;1.008160;1.008160
260;2.166667;1.006799;1.000000;1.006799;1.006799;1.006799
261;2.175001;1.005688;1.000000;1.005688;1.005688;1.005688
262;2.183334;1.004892;1.000000;1.004892;1.004892;1.004892
263;2.191668;1.004455;1.000000;1.004455;1.004455;1.004455
264;2.200001;1.004394;1.000000;1.004394;1.004394;1.004394
265;2.208334;1.004699;1.000000;1.004699;1.004699;1.004699
266;2.216668;1.005340;1.000000;1.005340;1.005340;1.005340
267;2.225001;1.006259;1.000000;1.006259;1.006259;1.006259
268;2.233335;1.007387;1.000000;1.007387;1.007387;1.007387
269;2.241668;1.008640;1.000000;1.008640;1.008640;1.008640
270;2.250002;1.009930;1.000000;1.009930;1.009930;1.009930
271;2.258335;1.011168;1.000000;1.011168;1.011168;1.011168
272;2.266669;1.012273;1.000000;1.012273;1.012273;1.012273
273;2.275002;1.013175;1.000000;1.013175;1.013175;1.013175
274;2.283335;1.013820;1.000000;1.013820;1.013820;1.013820
275;2.291669;1.014172;1.000000;1.014172;1.014172;1.014172
276;2.300002;1.014219;1.000000;1.014219;1.014219;1.014219
277;2.308336;1.013968;1.000000;1.013968;1.013968;1.013968
278;2.316669;1.013445;1.000000;1.013445;1.013445;1.013445
279;2.325003;1.012694;1.000000;1.012694;1.012694;1.012694
280;2.333336;1.011775;1.000000;1.011775;1.011775;1.011775
281;2.341670;1.010755;1.000000;1.010755;1.010755;1.010755
282;2.350003;1.009706;1.000000;1.009706;1.009706;1.009706
283;2.358336;1.008699;1.000000;1.008699;1.008699;1.008699
284;2.366670;1.007801;1.000000;1.007801;1.007801;1.007801
285;2.375003;1.007070;1.000000;1.007070;1.007070;1.007070
286;2.383337;1.006548;1.000000;1.006548;1.006548;1.006548
287;2.391670;1.006263;1.000000;1.006263;1.006263;1.006263
288;2.400004;1.006228;1.000000;1.006228;1.006228;1.006228
289;2.408337;1.006435;1.000000;1.006435;1.006435;1.006435
290;2.416671;1.006863;1.000000;1.006863;1.006863;1.006863
291;2.425004;1.007475;1.000000;1.007475;1.007475;1.007475
292;2.433337;1.008224;1.000000;1.008224;1.008224;1.008224
293;2.441671;1.009054;1.000000;1.009054;1.009054;1.009054
294;2.450004;1.009907;1.000000;1.009907;1.009907;1.009907
295;2.458338;1.010725;1.000000;1.010725;1.010725;1.010725
296;2.466671;1.011454;1.000000;1.011454;1.011454;1.011454
297;2.475005;1.012047;1.000000;1.012047;1.012047;1.012047
298;2.483338;1.012470;1.000000;1.012470;1.012470;1.012470
299;2.491672;1.012699;1.000000;1.012699;1.012699;1.012699
300;2.500005;1.012727;1.000000;1.012727;1.012727;1.012727
301;2.508338;1.012556;1.000000;1.012556;1.012556;1.012556
302;2.516672;1.012207;1.000000;1.012207;1.012207;1.012207
303;2.525005;1.011708;1.000000;1.011708;1.011708;1.011708
304;2.533339;1.011098;1.000000;1.011098;1.011098;1.011098
305;2.541672;1.010422;1.000000;1.010422;1.010422;1.010422
306;2.550006;1.009728;1.000000;1.009728;1.009728;1.009728
307;2.558339;1.009063;1.000000;1.009063;1.009063;1.009063
308;2.566673;1.008472;1.000000;1.008472;1.008472;1.008472
309;2.575006;1.007990;1.000000;1.007990;1.007990;1.007990
310;2.583339;1.007648;1.000000;1.007648;1.007648;1.007648
311;2.591673;1.007463;1.000000;1.007463;1.007463;1.007463
312;2.600006;1.007442;1.000000;1.007442;1.007442;1.007442
313;2.608340;1.007582;1.000000;1.007582;1.007582;1.007582
314;2.616673;1.007868;1.000000;1.007868;1.007868;1.007868
315;2.625007;1.008275;1.000000;1.008275;1.008275;1.008275
316;2.633340;1.008771;1.000000;1.008771;1.008771;1.008771
317;2.641674;1.009321;1.000000;1.009321;1.009321;1.009321
318;2.650007;1.009886;1.000000;1.009886;1.009886;1.009886
319;2.658340;1.010426;1.000000;1.010426;1.010426;1.010426
320;2.666674;1.010907;1.000000;1.010907;1.010907;1.010907
321;2.675007;1.011298;1.000000;1.011298;1.011298;1.011298
322;2.683341;1.011575;1.000000;1.011575;1.011575;1.011575
323;2.691674;1.011724;1.000000;1.011724;1.011724;1.011724
324;2.700008;1.011740;1.000000;1.011740;1.011740;1.011740
325;2.708341;1.011624;1.000000;1.011624;1.011624;1.011624
326;2.716675;1.011391;1.000000;1.011391;1.011391;1.011391
327;2.725008;1.011059;1.000000;1.011059;1.011059;1.011059
328;2.733341;1.010654;1.000000;1.010654;1.010654;1.010654
329;2.741675;1.010207;1.000000;1.010207;1.010207;1.010207
330;2.750008;1.009747;1.000000;1.009747;1.009747;1.009747
331;2.758342;1.009308;1.000000;1.009308;1.009308;1.009308
332;2.766675;1.008917;1.000000;1.008917;1.008917;1.008917
333;2.775009;1.008600;1.000000;1.008600;1.008600;1.008600
334;2.783342;1.008375;1.000000;1.008375;1.008375;1.008375
335;2.791676;1.008255;1.000000;1.008255;1.008255;1.008255
336;2.800009;1.008244;1.000000;1.008244;1.008244;1.008244
337;2.808342;1.008338;1.000000;1.008338;1.008338;1.008338
338;2.816676;1.008529;1.000000;1.008529;1.008529;1.008529
339;2.825009;1.008800;1.000000;1.008800;1.008800;1.008800
340;2.833343;1.009130;1.000000;1.009130;1.009130;1.009130
341;2.841676;1.009494;1.000000;1.009494;1.009494;1.009494
342;2.850010;1.009867;1.000000;1.009867;1.009867;1.009867
343;2.858343;1.010224;1.000000;1.010224;1.010224;1.010224
344;2.866677;1.010541;1.000000;1.010541;1.010541;1.010541
345;2.875010;1.010798;1.000000;1.010798;1.010798;1.010798
346;2.883343;1.010981;1.000000;1.010981;1.010981;1.010981
347;2.891677;1.011078;1.000000;1.011078;1.011078;1.011078
348;2.900010;1.011086;1.000000;1.011086;1.011086;1.011086
349;2.908344;1.011009;1.000000;1.011009;1.011009;1.011009
350;2.916677;1.010854;1.000000;1.010854;1.010854;1.010854
351;2.925011;1.010633;1.000000;1.010633;1.010633;1.010633
352;2.933344;1.010365;1.000000;1.010365;1.010365;1.010365
353;2.941678;1.010068;1.000000;1.010068;1.010068;1.010068
354;2.950011;1.009764;1.000000;1.009764;1.009764;1.009764
355;2.958344;1.009474;1.000000;1.009474;1.009474;1.009474
356;2.966678;1.009217;1.000000;1.009217;1.009217;1.009217
357;2.975011;1.009009;1.000000;1.009009;1.009009;1.009009
358;2.983345;1.008861;1.000000;1.008861;1.008861;1.008861
359;2.991678;1.008783;1.000000;1.008783;1.008783;1.008783
360;3.000012;1.008777;1.000000;1.008777;1.008777;1.008777
361;3.008345;1.008841;1.000000;1.008841;1.008841;1.008841
362;3.016679;1.008968;1.000000;1.008968;1.008968;1.008968
363;3.025012;1.009148;1.000000;1.009148;1.009148;1.009148
364;3.033345;1.009367;1.000000;1.009367;1.009367;1.009367
365;3.041679;1.009608;1.000000;1.009608;1.009608;1.009608
366;3.050012;1.009855;1.000000;1.009855;1.009855;1.009855
367;3.058346;1.010091;1.000000;1.010091;1.010091;1.010091
368;3.066679;1.010300;1.000000;1.010300;1.010300;1.010300
369;3.075013;1.010469;1.000000;1.010469;1.010469;1.010469
370;3.083346;1.010588;1.000000;1.010588;1.010588;1.010588
371;3.091680;1.010650;1.000000;1.010650;1.010650;1.010650
372;3.100013;1.010655;1.000000;1.010655;1.010655;1.010655
373;3.108346;1.010602;1.000000;1.010602;1.010602;1.010602
374;3.116680;1.010498;1.000000;1.010498;1.010498;1.010498
375;3.125013;1.010351;1.000000;1.010351;1.010351;1.010351
376;3.133347;1.010173;1.000000;1.010173;1.010173;1.010173
377;3.141680;1.009976;1.000000;1.009976;1.009976;1.009976
378;3.150014;1.009776;1.000000;1.009776;1.009776;1.009776
379;3.158347;1.009584;1.000000;1.009584;1.009584;1.009584
