frame;time;maxForce;avgForce;maxAccel
335;11.166700;0.0981696;0.0418531;44.1762
336;11.200040;0.102135;0.0431989;47.2096
337;11.233370;0.109217;0.0441388;49.1476
338;11.266700;0.10357;0.0448793;46.6062
339;11.300040;0.103431;0.0453822;44.3847
340;11.333370;0.105844;0.0454246;44.6672
341;11.366700;0.104093;0.045185;45.0267
342;11.400040;0.0998134;0.0451992;44.9159
343;11.433370;0.0992854;0.0457473;41.9343
344;11.466710;0.120165;0.0467613;57.551
345;11.500040;0.148696;0.0477973;58.8359
346;11.533370;0.17994;0.0486915;50.7538
347;11.566710;0.197704;0.0499661;88.9664
348;11.600040;0.212916;0.0512029;95.812
349;11.633380;0.240727;0.0511778;108.327
350;11.666710;0.200586;0.0502755;90.2635
351;11.700040;0.190638;0.0515182;85.7869
352;11.733380;0.187508;0.0528221;100.979
353;11.766710;0.176641;0.0537217;102.174
354;11.800040;0.185078;0.0541593;83.2847
355;11.833380;0.193302;0.0551216;83.6323
356;11.866710;0.222887;0.0553986;95.877
357;11.900050;0.208187;0.0557872;93.6839
358;11.933380;0.245959;0.0558316;110.681
359;11.966710;0.255164;0.056313;114.823
360;12.000050;0.242469;0.0576864;107.738
361;12.033380;0.270472;0.0592581;93.6972
362;12.066710;0.279928;0.060815;111.387
363;12.100050;0.26483;0.0632253;104.936
364;12.133380;0.285198;0.0659374;92.5109
365;12.166720;0.275922;0.0687385;104.1
366;12.200050;0.274445;0.0717616;103.905
367;12.233380;0.294079;0.0741287;90.9192
368;12.266720;0.253098;0.0768578;100.387
369;12.300050;0.290854;0.0804057;98.105
370;12.333380;0.316346;0.0837264;123.632
371;12.366720;0.32471;0.0872708;115.661
372;12.400050;0.3371;0.0898278;115.76
373;12.433390;0.293571;0.0911513;95.1115
374;12.466720;0.23655;0.0925577;91.5096
375;12.500050;0.258885;0.0949096;96.3414
376;12.533390;0.302764;0.0964169;108.17
377;12.566720;0.283883;0.0962665;124.014
378;12.600050;0.285871;0.0944212;128.642
379;12.633390;0.292717;0.0922973;110.86
380;12.666720;0.327821;0.0912718;104.565
381;12.700060;0.303382;0.0903856;127.273
382;12.733390;0.241457;0.090183;100.607
383;12.766720;0.284363;0.0903341;103.997
384;12.800060;0.289601;0.0900056;115.629
385;12.833390;0.250819;0.0886272;103.734
386;12.866720;0.229316;0.0868609;103.192
387;12.900060;0.206712;0.0851427;84.0063
388;12.933390;0.261689;0.0844258;117.76
389;12.966730;0.311505;0.0839816;140.177
390;13.000060;0.366872;0.0826122;165.092
391;13.033390;0.646621;0.0814406;290.979
392;13.066730;0.502282;0.0826603;226.026
393;13.100060;0.58331;0.0841031;262.489
394;13.133400;0.74715;0.0853734;336.217
395;13.166730;0.233872;0.0807576;105.242
396;13.200060;0.514472;0.0796923;231.512
397;13.233400;0.615334;0.08066;276.9
398;13.266730;0.402301;0.072854;181.035
399;13.300060;0.383651;0.0706515;172.643
400;13.333400;0.334516;0.0699621;150.532
401;13.366730;0.263492;0.0690374;118.571
402;13.400070;0.292377;0.0663848;184.526
403;13.433400;0.23262;0.0636171;198.967
404;13.466730;0.196412;0.0621189;130.257
405;13.500070;0.187971;0.0598938;84.5869
406;13.533400;0.169763;0.0575436;76.3929
407;13.566730;0.171207;0.0562236;77.0432
408;13.600070;0.159934;0.0548011;71.97
409;13.633400;0.159216;0.0528245;71.647
410;13.666740;0.13021;0.0507438;58.5942
411;13.700070;0.130632;0.0483201;55.1586
412;13.733400;0.128976;0.0466236;71.6956
413;13.766740;0.141007;0.0454485;84.4985
414;13.800070;0.138839;0.0446434;94.2287
415;13.833400;0.12521;0.0428928;94.4272
416;13.866740;0.120932;0.0404125;91.1884
417;13.900070;0.103787;0.0380562;93.4077
418;13.933410;0.0912423;0.0355169;82.1179
419;13.966740;0.0844287;0.0326192;45.0998
420;14.000070;0.074363;0.0303569;32.9206
421;14.033410;0.110057;0.029244;49.5256
422;14.066740;0.143098;0.0283947;64.3939
423;14.100070;0.158068;0.0268664;71.1306
424;14.133410;0.160319;0.0262498;72.1432
425;14.166740;0.152218;0.0260515;68.4979
426;14.200080;0.133184;0.025969;59.9325
427;14.233410;0.114857;0.0249765;52.4098
428;14.266740;0.0979186;0.0247384;53.5581
429;14.300080;0.0970295;0.0244659;50.8882
430;14.333410;0.0916124;0.0232171;46.748
431;14.366740;0.0804673;0.0220989;45.8497
432;14.400080;0.0705704;0.0220507;44.6161
433;14.433410;0.0681414;0.0213895;40.9546
434;14.466750;0.0798888;0.0212911;38.2044
435;14.500080;0.0752413;0.0219195;35.6852
436;14.533410;0.061313;0.0223177;33.2473
437;14.566750;0.0680538;0.0228415;32.5632
438;14.600080;0.0702671;0.0236384;33.3758
439;14.633420;0.0706764;0.0234867;45.1668
440;14.666750;0.0777671;0.0234041;51.9065
441;14.700080;0.103226;0.0233654;66.701
442;14.733420;0.0940659;0.0230682;65.8311
443;14.766750;0.0933404;0.0228905;43.5614
444;14.800080;0.0788798;0.0223152;33.5816
445;14.833420;0.101606;0.0218285;45.7224
446;14.866750;0.111422;0.0223566;50.1397
447;14.900090;0.101029;0.0236065;53.7081
448;14.933420;0.0811998;0.0248658;63.9816
449;14.966750;0.0878896;0.0271024;60.4966
450;15.000090;0.118079;0.0295408;65.9628
451;15.033420;0.118097;0.0325074;72.1395
452;15.066750;0.112507;0.0352376;72.5493
453;15.100090;0.118648;0.0366961;65.184
454;15.133420;0.137494;0.0374583;61.8723
455;15.166760;0.150784;0.038544;67.8527
456;15.200090;0.166743;0.0397005;75.034
457;15.233420;0.16417;0.0405841;73.8765
458;15.266760;0.178975;0.0411755;80.5384
459;15.300090;0.177966;0.0425709;80.0846
460;15.333420;0.180442;0.0440005;81.1989
461;15.366760;0.188527;0.0453851;84.8371
462;15.400090;0.192108;0.0467853;86.4482
463;15.433430;0.186204;0.0482469;83.7917
464;15.466760;0.192144;0.0491874;84.363
465;15.500090;0.208755;0.049106;93.9397
466;15.533430;0.225976;0.0488808;101.689
467;15.566760;0.238865;0.0493101;107.489
468;15.600090;0.26366;0.0497547;163.968
469;15.633430;0.258693;0.0514425;223.176
470;15.666760;0.304239;0.0542602;273.815
471;15.700100;0.311076;0.0580221;279.968
472;15.733430;0.270314;0.059979;237.565
473;15.766760;0.241875;0.0603629;171.926
474;15.800100;0.25321;0.0600073;164.66
475;15.833430;0.275318;0.0581651;147.208
476;15.866770;0.317092;0.0564791;142.691
477;15.900100;0.275813;0.0569344;134.47
478;15.933430;0.291056;0.0591892;168.04
479;15.966770;0.37632;0.0616583;242.792
480;16.000100;0.479623;0.0642534;340.225
481;16.033430;0.469824;0.0667299;359.054
482;16.066760;0.432486;0.0664101;389.237
483;16.100100;0.507806;0.064413;457.025
484;16.133430;0.574658;0.0640461;517.191
485;16.166760;0.652229;0.0666113;587.005
