frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
298;2.483338;1.012519;1.000000;1.012519;1.012519;1.012519
299;2.491672;1.012724;1.000000;1.012724;1.012724;1.012724
300;2.500005;1.012726;1.000000;1.012726;1.012726;1.012726
301;2.508338;1.012531;1.000000;1.012531;1.012531;1.012531
302;2.516672;1.012160;1.000000;1.012160;1.012160;1.012160
303;2.525005;1.011642;1.000000;1.011642;1.011642;1.011642
304;2.533339;1.011019;1.000000;1.011019;1.011019;1.011019
305;2.541672;1.010336;1.000000;1.010336;1.010336;1.010336
306;2.550006;1.009640;1.000000;1.009640;1.009640;1.009640
307;2.558339;1.008979;1.000000;1.008979;1.008979;1.008979
308;2.566673;1.008397;1.000000;1.008397;1.008397;1.008397
309;2.575006;1.007930;1.000000;1.007930;1.007930;1.007930
310;2.583339;1.007605;1.000000;1.007605;1.007605;1.007605
311;2.591673;1.007440;1.000000;1.007440;1.007440;1.007440
312;2.600006;1.007440;1.000000;1.007440;1.007440;1.007440
313;2.608340;1.007600;1.000000;1.007600;1.007600;1.007600
314;2.616673;1.007904;1.000000;1.007904;1.007904;1.007904
315;2.625007;1.008326;1.000000;1.008326;1.008326;1.008326
316;2.633340;1.008833;1.000000;1.008833;1.008833;1.008833
317;2.641674;1.009390;1.000000;1.009390;1.009390;1.009390
318;2.650007;1.009956;1.000000;1.009956;1.009956;1.009956
319;2.658340;1.010493;1.000000;1.010493;1.010493;1.010493
320;2.666674;1.010967;1.000000;1.010967;1.010967;1.010967
321;2.675007;1.011346;1.000000;1.011346;1.011346;1.011346
322;2.683341;1.011609;1.000000;1.011609;1.011609;1.011609
323;2.691674;1.011742;1.000000;1.011742;1.011742;1.011742
324;2.700008;1.011741;1.000000;1.011741;1.011741;1.011741
325;2.708341;1.011610;1.000000;1.011610;1.011610;1.011610
326;2.716675;1.011361;1.000000;1.011361;1.011361;1.011361
327;2.725008;1.011017;1.000000;1.011017;1.011017;1.011017
328;2.733341;1.010603;1.000000;1.010603;1.010603;1.010603
329;2.741675;1.010150;1.000000;1.010150;1.010150;1.010150
330;2.750008;1.009690;1.000000;1.009690;1.009690;1.009690
331;2.758342;1.009253;1.000000;1.009253;1.009253;1.009253
332;2.766675;1.008868;1.000000;1.008868;1.008868;1.008868
333;2.775009;1.008560;1.000000;1.008560;1.008560;1.008560
334;2.783342;1.008347;1.000000;1.008347;1.008347;1.008347
335;2.791676;1.008240;1.000000;1.008240;1.008240;1.008240
336;2.800009;1.008242;1.000000;1.008242;1.008242;1.008242
337;2.808342;1.008350;1.000000;1.008350;1.008350;1.008350
338;2.816676;1.008553;1.000000;1.008553;1.008553;1.008553
339;2.825009;1.008834;1.000000;1.008834;1.008834;1.008834
340;2.833343;1.009171;1.000000;1.009171;1.009171;1.009171
341;2.841676;1.009540;1.000000;1.009540;1.009540;1.009540
342;2.850010;1.009915;1.000000;1.009915;1.009915;1.009915
343;2.858343;1.010270;1.000000;1.010270;1.010270;1.010270
344;2.866677;1.010583;1.000000;1.010583;1.010583;1.010583
345;2.875010;1.010833;1.000000;1.010833;1.010833;1.010833
346;2.883343;1.011006;1.000000;1.011006;1.011006;1.011006
347;2.891677;1.011092;1.000000;1.011092;1.011092;1.011092
348;2.900010;1.011089;1.000000;1.011089;1.011089;1.011089
349;2.908344;1.011000;1.000000;1.011000;1.011000;1.011000
350;2.916677;1.010834;1.000000;1.010834;1.010834;1.010834
351;2.925011;1.010605;1.000000;1.010605;1.010605;1.010605
352;2.933344;1.010331;1.000000;1.010331;1.010331;1.010331
353;2.941678;1.010030;1.000000;1.010030;1.010030;1.010030
354;2.950011;1.009725;1.000000;1.009725;1.009725;1.009725
355;2.958344;1.009437;1.000000;1.009437;1.009437;1.009437
356;2.966678;1.009183;1.000000;1.009183;1.009183;1.009183
357;2.975011;1.008981;1.000000;1.008981;1.008981;1.008981
358;2.983345;1.008841;1.000000;1.008841;1.008841;1.008841
359;2.991678;1.008771;1.000000;1.008771;1.008771;1.008771
360;3.000012;1.008774;1.000000;1.008774;1.008774;1.008774
361;3.008345;1.008847;1.000000;1.008847;1.008847;1.008847
362;3.016679;1.008983;1.000000;1.008983;1.008983;1.008983
363;3.025012;1.009170;1.000000;1.009170;1.009170;1.009170
364;3.033345;1.009394;1.000000;1.009394;1.009394;1.009394
365;3.041679;1.009638;1.000000;1.009638;1.009638;1.009638
366;3.050012;1.009886;1.000000;1.009886;1.009886;1.009886
367;3.058346;1.010120;1.000000;1.010120;1.010120;1.010120
368;3.066679;1.010326;1.000000;1.010326;1.010326;1.010326
369;3.075013;1.010490;1.000000;1.010490;1.010490;1.010490
370;3.083346;1.010603;1.000000;1.010603;1.010603;1.010603
371;3.091680;1.010658;1.000000;1.010658;1.010658;1.010658
372;3.100013;1.010655;1.000000;1.010655;1.010655;1.010655
373;3.108346;1.010595;1.000000;1.010595;1.010595;1.010595
374;3.116680;1.010485;1.000000;1.010485;1.010485;1.010485
375;3.125013;1.010332;1.000000;1.010332;1.010332;1.010332
376;3.133347;1.010150;1.000000;1.010150;1.010150;1.010150
377;3.141680;1.009951;1.000000;1.009951;1.009951;1.009951
378;3.150014;1.009750;1.000000;1.009750;1.009750;1.009750
379;3.158347;1.009559;1.000000;1.009559;1.009559;1.009559
380;3.166681;1.009392;1.000000;1.009392;1.009392;1.009392
381;3.175014;1.009259;1.000000;1.009259;1.009259;1.009259
382;3.183347;1.009168;1.000000;1.009168;1.009168;1.009168
383;3.191681;1.009124;1.000000;1.009124;1.009124;1.009124
