frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
241;2.008332;1.002150;1.000000;1.002150;1.002150;1.002150
242;2.016665;1.003170;1.000000;1.003170;1.003170;1.003170
243;2.024999;1.004603;1.000000;1.004603;1.004603;1.004603
244;2.033332;1.006338;1.000000;1.006338;1.006338;1.006338
245;2.041666;1.008249;1.000000;1.008249;1.008249;1.008249
246;2.049999;1.010200;1.000000;1.010200;1.010200;1.010200
247;2.058332;1.012058;1.000000;1.012058;1.012058;1.012058
248;2.066666;1.013703;1.000000;1.013703;1.013703;1.013703
249;2.074999;1.015029;1.000000;1.015029;1.015029;1.015029
250;2.083333;1.015959;1.000000;1.015959;1.015959;1.015959
251;2.091666;1.016443;1.000000;1.016443;1.016443;1.016443
252;2.100000;1.016463;1.000000;1.016463;1.016463;1.016463
253;2.108333;1.016035;1.000000;1.016035;1.016035;1.016035
254;2.116667;1.015202;1.000000;1.015202;1.015202;1.015202
255;2.125000;1.014033;1.000000;1.014033;1.014033;1.014033
256;2.133333;1.012620;1.000000;1.012620;1.012620;1.012620
257;2.141667;1.011065;1.000000;1.011065;1.011065;1.011065
258;2.150000;1.009478;1.000000;1.009478;1.009478;1.009478
259;2.158334;1.007967;1.000000;1.007967;1.007967;1.007967
260;2.166667;1.006631;1.000000;1.006631;1.006631;1.006631
261;2.175001;1.005555;1.000000;1.005555;1.005555;1.005555
262;2.183334;1.004802;1.000000;1.004802;1.004802;1.004802
263;2.191668;1.004412;1.000000;1.004412;1.004412;1.004412
264;2.200001;1.004399;1.000000;1.004399;1.004399;1.004399
265;2.208334;1.004751;1.000000;1.004751;1.004751;1.004751
266;2.216668;1.005432;1.000000;1.005432;1.005432;1.005432
267;2.225001;1.006385;1.000000;1.006385;1.006385;1.006385
268;2.233335;1.007536;1.000000;1.007536;1.007536;1.007536
269;2.241668;1.008802;1.000000;1.008802;1.008802;1.008802
270;2.250002;1.010093;1.000000;1.010093;1.010093;1.010093
271;2.258335;1.011321;1.000000;1.011321;1.011321;1.011321
272;2.266669;1.012406;1.000000;1.012406;1.012406;1.012406
273;2.275002;1.013279;1.000000;1.013279;1.013279;1.013279
274;2.283335;1.013889;1.000000;1.013889;1.013889;1.013889
275;2.291669;1.014203;1.000000;1.014203;1.014203;1.014203
276;2.300002;1.014211;1.000000;1.014211;1.014211;1.014211
277;2.308336;1.013921;1.000000;1.013921;1.013921;1.013921
278;2.316669;1.013365;1.000000;1.013365;1.013365;1.013365
