frame;time;dx;dy;dz;displacement;angleFromVertical
155;5.166663;0.000000;0.085867;0.000000;0.085867;0.000000
156;5.199996;0.000000;0.104882;0.000000;0.104882;0.000000
157;5.233330;0.000000;0.122788;0.000000;0.122788;0.000000
158;5.266663;0.000000;0.137628;0.000000;0.137628;0.000000
159;5.299996;0.000000;0.147796;0.000000;0.147796;0.000000
160;5.333330;0.000000;0.152216;0.000000;0.152216;0.000000
161;5.366663;0.000000;0.150445;0.000000;0.150445;0.000000
162;5.399996;0.000000;0.142721;0.000000;0.142721;0.000000
163;5.433330;0.000000;0.129936;0.000000;0.129936;0.000000
164;5.466663;0.000000;0.113529;0.000000;0.113529;0.000000
165;5.499996;0.000000;0.095320;0.000000;0.095320;0.000000
166;5.533329;0.000000;0.077320;0.000000;0.077320;0.000000
167;5.566663;0.000000;0.061502;0.000000;0.061502;0.000000
168;5.599996;0.000000;0.049587;0.000000;0.049587;0.000000
169;5.633329;0.000000;0.042852;0.000000;0.042852;0.000000
170;5.666663;0.000000;0.041995;0.000000;0.041995;0.000000
171;5.699996;0.000000;0.047067;0.000000;0.047067;0.000000
172;5.733329;0.000000;0.057471;0.000000;0.057471;0.000000
173;5.766663;0.000000;0.072025;0.000000;0.072025;0.000000
174;5.799996;0.000000;0.089103;0.000000;0.089103;0.000000
175;5.833329;0.000000;0.106814;0.000000;0.106814;0.000000
176;5.866663;0.000000;0.123211;0.000000;0.123211;0.000000
177;5.899996;0.000000;0.136504;0.000000;0.136504;0.000000
178;5.933329;0.000000;0.145259;0.000000;0.145259;0.000000
179;5.966662;0.000000;0.148551;0.000000;0.148551;0.000000
180;5.999996;0.000000;0.146060;0.000000;0.146060;0.000000
181;6.033329;0.000000;0.138100;0.000000;0.138100;0.000000
182;6.066662;0.000000;0.125585;0.000000;0.125585;0.000000
183;6.099996;0.000000;0.109924;0.000000;0.109924;0.000000
184;6.133329;0.000000;0.092853;0.000000;0.092853;0.000000
185;6.166662;0.000000;0.076257;0.000000;0.076257;0.000000
186;6.199996;0.000000;0.061951;0.000000;0.061951;0.000000
187;6.233329;0.000000;0.051488;0.000000;0.051488;0.000000
188;6.266662;0.000000;0.045986;0.000000;0.045986;0.000000
189;6.299995;0.000000;0.046013;0.000000;0.046013;0.000000
190;6.333329;0.000000;0.051522;0.000000;0.051522;0.000000
191;6.366662;0.000000;0.061873;0.000000;0.061873;0.000000
192;6.399995;0.000000;0.075892;0.000000;0.075892;0.000000
193;6.433329;0.000000;0.092016;0.000000;0.092016;0.000000
194;6.466662;0.000000;0.108460;0.000000;0.108460;0.000000
195;6.499995;0.000000;0.123417;0.000000;0.123417;0.000000
196;6.533329;0.000000;0.135258;0.000000;0.135258;0.000000
197;6.566662;0.000000;0.142710;0.000000;0.142710;0.000000
198;6.599995;0.000000;0.144987;0.000000;0.144987;0.000000
199;6.633328;0.000000;0.141876;0.000000;0.141876;0.000000
200;6.666662;0.000000;0.133757;0.000000;0.133757;0.000000
201;6.699995;0.000000;0.121562;0.000000;0.121562;0.000000
202;6.733328;0.000000;0.106656;0.000000;0.106656;0.000000
203;6.766662;0.000000;0.090694;0.000000;0.090694;0.000000
204;6.799995;0.000000;0.075434;0.000000;0.075434;0.000000
205;6.833328;0.000000;0.062543;0.000000;0.062543;0.000000
